,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,guac_1
103,103,1,50,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,true,false,not_all_assigned
104,104,1,50,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,not_all_assigned
105,105,1,50,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,not_all_assigned
106,106,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,not_all_assigned
107,107,1,50,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,false,false,false
108,108,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,not_all_assigned
109,109,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,not_all_assigned
110,110,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,not_all_assigned
111,111,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,not_all_assigned
112,112,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,not_all_assigned
113,113,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,not_all_assigned
114,114,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,not_all_assigned
115,115,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,not_all_assigned
116,116,1,50,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,false,true,false,not_all_assigned
117,117,1,50,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,not_all_assigned
118,118,1,50,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,not_all_assigned
119,119,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,not_all_assigned
120,120,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,not_all_assigned
121,121,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,not_all_assigned
122,122,1,50,true,true,true,true,true,true,false,true,false,true,true,true,false,false,true,false,false,true,false,not_all_assigned
123,123,1,50,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true
