,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,fraction_multiple_condorcet_winners
177,177,1,50,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,false,false,true,not_all_assigned,0.0
178,178,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,0.0
179,179,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,0.0
180,180,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,0.0
181,181,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,not_all_assigned,0.0
182,182,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,0.0
183,183,1,50,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false,false,true,0.0
184,184,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,0.0
185,185,1,50,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,0.0
186,186,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,0.005
187,187,1,50,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,false,0.0
188,188,1,50,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,0.0
189,189,1,50,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,not_all_assigned,true,0.0
190,190,1,50,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,not_all_assigned,0.0
191,191,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,not_all_assigned,0.0
192,192,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
193,193,1,50,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true,true,true,true,false,0.0
194,194,1,50,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,false,0.0
195,195,1,50,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,false,false,true,true,0.0
196,196,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
197,197,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,0.0
198,198,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,0.0
199,199,1,50,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,0.0
200,0,1,100,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,0.0
201,1,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,0.0
202,2,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
203,3,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,0.0
204,4,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
205,5,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,0.0
206,6,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,0.0
207,7,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,0.0
208,8,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,0.0
209,9,1,100,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,0.0
210,10,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,0.0
211,11,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,0.0
212,12,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,0.0
213,13,1,100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0.0
214,14,1,100,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,0.0
