,Guac Entrants,Townspeople,Sampling Limit,Std. Deviation,Valid
428,20,250,12.0,3.0,True
429,20,250,13.0,3.0,True
430,20,250,14.0,3.0,True
431,20,250,15.0,3.0,True
432,20,250,16.0,3.0,True
433,20,250,17.0,3.0,True
434,20,250,18.0,3.0,False
435,20,250,19.0,3.0,False
436,20,250,20.0,3.0,True
437,20,300,2.0,3.0,True
438,20,300,3.0,3.0,True
439,20,300,4.0,3.0,False
440,20,300,5.0,3.0,True
441,20,300,6.0,3.0,False
442,20,300,7.0,3.0,True
443,20,300,8.0,3.0,False
444,20,300,9.0,3.0,True
445,20,300,10.0,3.0,True
446,20,300,11.0,3.0,False
447,20,300,12.0,3.0,True
448,20,300,13.0,3.0,True
449,20,300,14.0,3.0,True
450,20,300,15.0,3.0,True
451,20,300,16.0,3.0,True
452,20,300,17.0,3.0,False
453,20,300,18.0,3.0,True
454,20,300,19.0,3.0,True
455,20,300,20.0,3.0,True
456,20,350,2.0,3.0,False
457,20,350,3.0,3.0,False
458,20,350,4.0,3.0,False
459,20,350,5.0,3.0,False
460,20,350,6.0,3.0,False
461,20,350,7.0,3.0,False
462,20,350,8.0,3.0,True
463,20,350,9.0,3.0,True
464,20,350,10.0,3.0,True
465,20,350,11.0,3.0,True
466,20,350,12.0,3.0,True
467,20,350,13.0,3.0,False
468,20,350,14.0,3.0,True
469,20,350,15.0,3.0,True
470,20,350,16.0,3.0,True
471,20,350,17.0,3.0,True
472,20,350,18.0,3.0,True
473,20,350,19.0,3.0,True
474,20,350,20.0,3.0,False
475,20,400,2.0,3.0,False
476,20,400,3.0,3.0,False
477,20,400,4.0,3.0,True
478,20,400,5.0,3.0,True
479,20,400,6.0,3.0,True
480,20,400,7.0,3.0,True
481,20,400,8.0,3.0,True
482,20,400,9.0,3.0,True
483,20,400,10.0,3.0,True
484,20,400,11.0,3.0,False
